Team,Team Group,Stage,RACI,Note,Conflict,Conflict Note
PMM,Strategy,Intake & Scoping,R,Scopes the feature with product; decides what's launch-worthy.,N,
PMM,Strategy,Positioning & Narrative,C,Feeds product/customer knowledge into the narrative Brand owns.,N,
PMM,Strategy,Activation Planning,R,Defines what the launch needs from centralized teams.,Y,Demand Gen also shows R here — no agreed Accountable.
PMM,Strategy,Brief to Centralized Teams,R,"Delivers the brief to Content, Creative, Social, Web, etc.",N,
PMM,Strategy,Production,C,"Answers questions, reviews drafts for accuracy.",Y,Overlaps with Brand/Positioning and Writer on who owns messaging in the draft.
PMM,Strategy,Review & Approval,A,Approves messaging accuracy before it ships.,N,
PMM,Strategy,Launch Execution,C,On call during launch for messaging questions.,N,
PMM,Strategy,Post-Launch,C,Contributes product angle to the results narrative.,N,
Demand Gen,Strategy,Intake & Scoping,C,Flags channel/funnel considerations early.,N,
Demand Gen,Strategy,Positioning & Narrative,I,,N,
Demand Gen,Strategy,Activation Planning,R,Defines channel/activation needs for the launch.,Y,"PMM also shows R here — no agreed Accountable. Also unclear how this relates to Paid Media's own R at this stage."
Demand Gen,Strategy,Brief to Centralized Teams,C,Co-briefs on funnel and channel requirements.,N,
Demand Gen,Strategy,Production,I,,N,
Demand Gen,Strategy,Review & Approval,I,,N,
Demand Gen,Strategy,Launch Execution,R,"Executes paid, email, and channel activation.",N,
Demand Gen,Strategy,Post-Launch,R,Reports channel performance against targets.,N,
Brand / Positioning,Strategy,Intake & Scoping,C,"Joins the pre-kickoff strategy call (per Jenny Louis, Director of Brand & Creative) to weigh in on positioning before deliverables are scoped.",N,
Brand / Positioning,Strategy,Positioning & Narrative,R,"Owns narrative, positioning, and messaging architecture.",N,
Brand / Positioning,Strategy,Activation Planning,C,Weighs in on activation ideas that touch positioning.,N,
Brand / Positioning,Strategy,Brief to Centralized Teams,C,Reviews the brief for narrative consistency.,N,
Brand / Positioning,Strategy,Production,R,Owns messaging accuracy inside produced content.,Y,Overlaps with PMM and Writer on who owns messaging in the draft.
Brand / Positioning,Strategy,Review & Approval,A,Signs off on brand voice and positioning.,N,
Brand / Positioning,Strategy,Launch Execution,I,,N,
Brand / Positioning,Strategy,Post-Launch,I,,N,
Analytics & Ops,Strategy,Intake & Scoping,I,,N,
Analytics & Ops,Strategy,Positioning & Narrative,I,,N,
Analytics & Ops,Strategy,Activation Planning,C,Feeds traffic/engagement data that should inform which activations make sense.,N,
Analytics & Ops,Strategy,Brief to Centralized Teams,I,,N,
Analytics & Ops,Strategy,Production,I,,N,
Analytics & Ops,Strategy,Review & Approval,I,,N,
Analytics & Ops,Strategy,Launch Execution,C,Sets up tracking and attribution.,N,
Analytics & Ops,Strategy,Post-Launch,R,Compiles performance data and attribution across channels.,N,
